hhid,child_sex,child_age,home_language,stories_songs,read,confident,how_well_demands,primary_cg_ed,ACE,state
17144926,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,"Vocational, trade, or business school program",1,Iowa
17145523,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Georgia
17145820,Male,5,English,1-3 days,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Washington
17146536,Male,5,English,Every day,1-3 days,Completely confident,Very well,Associate Degree,1,Wyoming
17146681,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Associate Degree,1,North Dakota
17146978,Male,5,English,4-6 days,4-6 days,Completely confident,Very well,Associate Degree,Exp 2 ACE,Wyoming
17147014,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,Master’s Degree,1,New Hampshire
17147237,Female,5,Spanish,Every day,Every day,Mostly confident,Somewhat well,"Some College Credit, no Degree",1,Rhode Island
17147297,Male,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",1,Oregon
17147329,Male,5,English,1-3 days,Every day,Completely confident,Very well,Doctorate,1,Maine
17147342,Male,5,English,4-6 days,Every day,Completely confident,Very well,Doctorate,1,Colorado
17147923,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Master’s Degree,1,Montana
17148356,Male,5,English,1-3 days,Every day,Completely confident,Very well,Associate Degree,Exp 1 ACE,Tennessee
17149533,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Washington
17149995,Male,5,English,4-6 days,4-6 days,Mostly confident,Somewhat well,"Some College Credit, no Degree",1,Ohio
17150167,Male,5,Spanish,0 days,1-3 days,Completely confident,Somewhat well,High School Graduate or GED,1,Illinois
17150174,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,Exp 1 ACE,Illinois
17150312,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,New Jersey
17150679,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Montana
17150917,Female,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Master’s Degree,Exp 1 ACE,Massachusetts
17151059,Male,5,English,Every day,4-6 days,Mostly confident,Very well,Master’s Degree,1,Wisconsin
17151064,Female,5,English,1-3 days,Every day,Completely confident,Very well,"Vocational, trade, or business school program",1,Wyoming
17151330,Male,5,English,4-6 days,4-6 days,Mostly confident,Somewhat well,Bachelor’s Degree,1,Hawaii
17151411,Male,5,English,Every day,Every day,Mostly confident,Very well,Master’s Degree,1,New Hampshire
17151459,Male,5,Other,Every day,Every day,Completely confident,Very well,Associate Degree,1,District of Columbia
17151572,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Texas
17151677,Male,5,English,Every day,Every day,Mostly confident,Very well,"Vocational, trade, or business school program",Exp 1 ACE,Mississippi
17152316,Female,5,Other,4-6 days,4-6 days,Completely confident,Somewhat well,Doctorate,1,New Jersey
17152825,Male,5,English,4-6 days,Every day,Mostly confident,Very well,Doctorate,Exp 1 ACE,Maine
17152870,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,New Jersey
17153090,Female,5,English,Every day,Every day,Mostly confident,Somewhat well,"Some College Credit, no Degree",Exp 1 ACE,Mississippi
17153315,Female,5,English,Every day,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",Exp 2 ACE,Maine
17153521,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Associate Degree,1,Nebraska
17153856,Male,5,English,0 days,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Oklahoma
17154085,Male,5,English,Every day,4-6 days,Completely confident,Very well,Associate Degree,1,Kentucky
17154361,Male,5,English,1-3 days,1-3 days,Mostly confident,Very well,"Some College Credit, no Degree",Exp 2 ACE,Nebraska
17154395,Female,5,Spanish,1-3 days,1-3 days,Mostly confident,Somewhat well,Doctorate,1,Minnesota
17154584,Male,5,English,Every day,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Arkansas
17154812,Female,5,English,Every day,Every day,Completely confident,Very well,Associate Degree,1,Tennessee
17155262,Male,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Associate Degree,1,Iowa
17155279,Female,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,"Some College Credit, no Degree",1,Louisiana
17155403,Male,5,English,Every day,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,South Dakota
17155681,Female,5,English,Every day,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,Alaska
17155749,Female,5,English,Every day,Every day,Completely confident,Very well,Master’s Degree,1,Alabama
17156083,Male,5,English,Every day,4-6 days,Completely confident,Very well,Associate Degree,1,Illinois
17156559,Female,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Associate Degree,1,Idaho
17156736,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,Iowa
17156777,Male,5,English,4-6 days,4-6 days,Completely confident,Very well,Associate Degree,1,Utah
17157155,Male,5,English,4-6 days,4-6 days,Mostly confident,Very well,Master’s Degree,1,California
17157655,Male,5,English,4-6 days,Every day,Mostly confident,Very well,Bachelor’s Degree,1,Massachusetts
17157887,Female,5,English,4-6 days,Every day,Completely confident,Very well,"Some College Credit, no Degree",Exp 1 ACE,Wyoming
17158104,Female,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Arizona
17158172,Male,5,English,4-6 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,Oklahoma
